Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  29.08.2012;143.87;144.37;143.39;143.58;616,455
  30.08.2012;143.68;144.26;143.63;144.15;505,821
  31.08.2012;144.2;144.31;143.17;144.02;809,951
  03.09.2012;144;144.16;143.46;143.55;622,654
  04.09.2012;143.56;143.69;143.02;143.5;1,413,126
  05.09.2012;143.51;143.9;142.82;143.13;652,636
  06.09.2012;141.28;141.28;140.12;140.17;950,314
  07.09.2012;140.17;140.77;139.43;140.65;962,973
  10.09.2012;140.52;140.93;140.13;140.32;583,995
  11.09.2012;140.81;140.98;140.33;140.38;579,888
  12.09.2012;140.32;140.5;139.24;139.55;941,03
  13.09.2012;139.63;140.47;139.48;140.29;754,815
  14.09.2012;140.08;140.09;138.6;138.74;974,904
  17.09.2012;138.82;139.15;138.41;139;624,069
  18.09.2012;139.23;139.67;139.01;139.46;665,119
  19.09.2012;139.08;139.95;139.03;139.71;708,784
  20.09.2012;139.91;140.35;139.78;140.21;743,729
  21.09.2012;139.82;140.21;139.6;140;682,861
  24.09.2012;140.18;140.49;139.95;140.4;489,218
  25.09.2012;140.41;140.95;139.96;140.06;828,934
  26.09.2012;140.69;141.73;140.62;141.63;884,298
  27.09.2012;141.5;141.72;141.29;141.57;610,158
  28.09.2012;141.46;141.95;141.36;141.77;640,633
  01.10.2012;141.69;141.75;141.12;141.4;550,444
  02.10.2012;141.65;141.69;141.1;141.43;611,437
  03.10.2012;141.74;141.91;141.44;141.59;517,386
  04.10.2012;141.57;141.8;141.13;141.67;682,202
  05.10.2012;141.32;141.54;140.71;140.87;627,228
  08.10.2012;141.07;141.45;141.06;141.39;438,373
  09.10.2012;141.29;141.57;141.05;141.38;655,914
  10.10.2012;141.4;141.53;141.02;141.23;645,012
  11.10.2012;141.68;141.9;140.98;141.15;666,759
  12.10.2012;141.41;141.91;141.21;141.7;603,933
  15.10.2012;141.75;141.83;141.39;141.55;475,656
  16.10.2012;141.38;141.46;140.63;140.77;811,29
  17.10.2012;140.55;140.59;139.57;139.75;865,307
  18.10.2012;139.49;140.13;139.45;139.82;805,434
  19.10.2012;139.74;140.48;139.71;140.11;629,559
  22.10.2012;140.22;140.3;139.67;139.87;681,939
  23.10.2012;139.87;140.5;139.87;140.35;761,537
  24.10.2012;140.19;140.65;140.13;140.47;838,395
  25.10.2012;140.2;140.46;139.88;140.39;728,768
  26.10.2012;140.56;141.16;140.52;140.85;824,549
  29.10.2012;141.06;141.88;141.03;141.7;475,667
  30.10.2012;141.82;142;141.35;141.54;471,887
  31.10.2012;141.57;141.86;141.18;141.68;771,184
  01.11.2012;141.62;141.83;141.46;141.71;515,621
  02.11.2012;141.68;142.04;141.39;141.87;666,28
  05.11.2012;142.07;142.28;141.95;142.13;547,385
  06.11.2012;142.05;142.3;141.65;142.09;532,739
  07.11.2012;142.08;142.88;141.77;142.75;845,012
  08.11.2012;142.71;143.18;142.57;142.98;747,12
  09.11.2012;143.05;143.47;142.94;143.14;655,46
  12.11.2012;143.2;143.27;143.03;143.17;317,74
  13.11.2012;143.33;143.48;142.98;143.14;678,428
  14.11.2012;143.2;143.41;142.83;143.36;680,923
  15.11.2012;143.34;143.37;142.91;143.13;610,745
  16.11.2012;143.32;143.45;143;143.31;501,759
  19.11.2012;143.11;143.19;142.87;143;406,537
  20.11.2012;143.06;143.22;142.33;142.38;682,734
  21.11.2012;142.57;142.64;142.13;142.17;673,521
  22.11.2012;142.19;142.27;142.03;142.16;298,305
  23.11.2012;142.15;142.48;142.01;142.12;477,506
  26.11.2012;142.23;142.5;142.15;142.43;446,478
  27.11.2012;142.12;142.36;141.84;142.23;641,01
  28.11.2012;142.4;143.15;142.32;142.95;782,638
  29.11.2012;142.8;143.02;142.63;142.84;687,399
  30.11.2012;142.88;143.12;142.72;142.79;711,578
  03.12.2012;142.89;143.05;142.07;142.51;1,261,818
  04.12.2012;142.48;142.79;142.33;142.74;1,249,618
  05.12.2012;142.6;143.37;142.54;143.28;563,214
  06.12.2012;145.03;145.74;144.91;145.69;685,762
  07.12.2012;145.59;145.88;145.42;145.72;619,919
  10.12.2012;145.81;146.17;145.54;145.6;553,848
  11.12.2012;145.69;145.78;145.24;145.41;577,854
  12.12.2012;145.24;145.41;145.02;145.26;475,682
  13.12.2012;144.9;145.54;144.83;145.06;713,419
  14.12.2012;144.98;145.24;144.73;144.93;404,164
  17.12.2012;144.71;145.02;144.61;144.86;357,625
  18.12.2012;144.57;144.84;144.11;144.41;513,488
  19.12.2012;144.26;144.41;143.8;144.15;621,747
  20.12.2012;144.19;144.5;144.16;144.32;425,826
  21.12.2012;144.6;144.85;144.44;144.77;357,454
  27.12.2012;144.78;145.63;144.62;145.54;210,14
  28.12.2012;145.55;145.82;145.42;145.64;224,009
  02.01.2013;144.85;144.9;143.94;144.07;553,926
