Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  11.10.2007;112,37;112,39;111,92;112,20;1.282.788
  12.10.2007;112,25;112,35;111,59;111,64;1.318.207
  15.10.2007;111,63;111,85;111,54;111,81;902.938
  16.10.2007;111,78;111,91;111,61;111,73;1.247.223
  17.10.2007;111,80;112,23;111,64;112,10;1.295.028
  18.10.2007;112,05;112,71;112,01;112,62;1.397.789
  19.10.2007;112,79;113,66;112,71;113,66;1.464.936
  22.10.2007;113,62;114,05;113,48;113,74;1.610.139
  23.10.2007;113,66;113,79;113,47;113,71;972.251
  24.10.2007;113,80;114,23;113,73;114,00;1.445.304
  25.10.2007;114,05;114,13;113,84;113,95;1.065.486
  26.10.2007;113,85;114,06;113,59;113,84;1.198.888
  29.10.2007;113,82;113,95;113,65;113,92;708.580
  30.10.2007;113,85;113,89;113,61;113,83;835.985
  31.10.2007;112,56;114,23;111,54;113,33;1.622.412
  01.11.2007;112,77;113,77;112,58;113,74;1.610.410
  02.11.2007;113,71;114,12;113,18;113,78;1.680.847
  05.11.2007;113,85;114,17;113,76;113,79;1.053.047
  06.11.2007;113,78;113,94;113,62;113,67;951.608
  07.11.2007;113,90;114,37;113,77;114,30;1.489.084
  08.11.2007;114,50;114,56;113,92;114,25;1.395.449
  09.11.2007;114,25;114,74;114,15;114,65;1.246.858
  12.11.2007;114,75;114,82;114,43;114,69;490.247
  13.11.2007;114,55;114,63;114,15;114,15;1.120.781
  14.11.2007;114,02;114,27;113,80;114,21;1.439.629
  15.11.2007;114,21;114,61;114,01;114,58;1.170.657
  16.11.2007;114,58;114,76;114,29;114,39;1.276.503
  19.11.2007;114,42;115,22;114,31;115,11;1.214.686
  20.11.2007;114,94;115,13;114,67;114,79;1.492.842
  21.11.2007;115,18;115,39;114,95;115,28;1.359.395
  22.11.2007;115,27;115,43;115,08;115,31;503.672
  23.11.2007;115,32;115,50;114,99;115,23;920.578
  26.11.2007;115,04;115,83;114,88;115,81;973.725
  27.11.2007;115,44;115,58;114,85;114,95;1.559.065
  28.11.2007;115,06;115,07;114,30;114,42;1.505.928
  29.11.2007;114,32;114,96;114,29;114,90;1.433.306
  30.11.2007;112,77;115,83;112,58;114,38;1.468.913
  03.12.2007;114,45;115,01;114,30;114,95;1.594.707
  04.12.2007;114,93;115,22;114,74;115,14;1.930.819
  05.12.2007;114,97;115,23;114,90;115,00;858.929
  06.12.2007;114,81;114,94;114,71;114,89;58.163
  07.12.2007;115,12;115,15;114,03;114,20;1.354.685
  10.12.2007;114,32;114,36;113,42;113,59;1.015.963
  11.12.2007;113,59;114,16;113,38;114,16;837.140
  12.12.2007;113,88;113,97;112,92;113,30;1.176.124
  13.12.2007;113,29;113,40;112,85;113,17;1.061.526
  14.12.2007;113,13;113,34;112,90;112,98;805.277
  17.12.2007;113,13;113,29;113,00;113,29;437.903
  18.12.2007;113,20;113,40;112,91;113,27;607.546
  19.12.2007;113,17;113,60;112,97;113,35;725.781
  20.12.2007;113,33;113,65;113,19;113,48;525.113
  21.12.2007;113,39;113,47;112,87;113,00;394.563
  27.12.2007;112,90;112,93;112,60;112,67;239.425
  28.12.2007;112,74;113,19;112,67;113,11;269.160
  31.12.2007;114,45;115,23;112,60;113,11;0
  02.01.2008;113,14;114,41;112,85;114,12;749.150
  03.01.2008;114,08;114,56;114,05;114,53;986.029
  04.01.2008;114,41;115,08;114,36;114,95;1.002.052
  07.01.2008;114,85;115,14;114,73;115,09;847.696
  08.01.2008;114,94;114,95;114,58;114,95;1.055.304
  09.01.2008;114,92;115,41;114,82;115,13;1.165.301
  10.01.2008;115,21;115,49;115,08;115,13;1.187.580
  11.01.2008;115,32;115,50;114,85;115,45;1.334.934
  14.01.2008;115,43;115,73;115,40;115,48;1.174.985
  15.01.2008;115,61;116,02;115,49;115,93;1.236.965
  16.01.2008;116,13;116,37;115,75;116,15;1.667.729
  17.01.2008;116,09;116,55;115,79;116,53;1.538.575
  18.01.2008;116,31;116,46;116,04;116,25;1.260.900
  21.01.2008;116,44;116,96;116,39;116,88;925.575
  22.01.2008;117,04;118,08;116,03;116,29;2.444.971
